SalesDate;CustomerID;ProductID;Quantity;SalesItemId
15.09.2020;5169;30;50.52;76394521
15.09.2020;5169;30;48.05;76397441
15.09.2020;5169;30;50.22;76399698
15.09.2020;5169;30;28.09;76400569
16.09.2020;5169;30;37.84;76446533
18.09.2020;5169;30;52.06;76528707
18.09.2020;5169;30;29.24;76529812
18.09.2020;5169;30;42.24;76531823
18.09.2020;5169;30;42.61;76531824
18.09.2020;5169;30;51.73;76533286
18.09.2020;5169;30;33.68;76534451
18.09.2020;5169;30;59;76534933
18.09.2020;5169;30;46.75;76535908
21.09.2020;5169;30;47.64;76618668
22.09.2020;5169;30;57.07;76661648
22.09.2020;5169;30;44.49;76664121
22.09.2020;5169;30;34.09;76664520
23.09.2020;5169;30;47.82;76722562
23.09.2020;5169;30;60.27;76723892
24.09.2020;5169;30;50.75;76741808
25.09.2020;5169;30;25.76;76800568
25.09.2020;5169;30;35.49;76803378
25.09.2020;5169;30;43.15;76803379
25.09.2020;5169;30;30.1;76805553
25.09.2020;5169;30;28.06;76807210
25.09.2020;5169;30;47.3;76807854
25.09.2020;5169;30;48.82;76809227
28.09.2020;5169;30;52.21;76869558
29.09.2020;5169;30;49.42;76955214
29.09.2020;5169;30;48.97;76956754
30.09.2020;5169;30;57.28;76974386
30.09.2020;5169;30;56.15;76985215
01.10.2020;5169;30;47.36;76988051
02.10.2020;5169;30;31.41;77049366
02.10.2020;5169;30;47.7;77051433
02.10.2020;5169;30;40.23;77051434
02.10.2020;5169;30;38.32;77052952
02.10.2020;5169;30;21.22;77054188
02.10.2020;5169;30;54.31;77054624
02.10.2020;5169;30;56.47;77055643
05.10.2020;5169;30;53.36;77127050
06.10.2020;5169;30;54.47;77178342
06.10.2020;5169;30;46.12;77182336
07.10.2020;5169;30;49.5;77204605
07.10.2020;5169;30;60;77204606
07.10.2020;5169;30;59.86;77207408
08.10.2020;5169;30;59.45;77248636
09.10.2020;5169;30;28.82;77307092
09.10.2020;5169;30;49.31;77309056
09.10.2020;5169;30;45.72;77310525
09.10.2020;5169;30;15.4;77311649
09.10.2020;5169;30;23.52;77312080
09.10.2020;5169;30;50.11;77313001
09.10.2020;5169;30;56.81;77313002
12.10.2020;5169;30;44.39;77378132
12.10.2020;5169;30;51.03;77380837
12.10.2020;5169;30;48.07;77380838
13.10.2020;5169;30;53.2;77429316
13.10.2020;5169;30;50.33;77430670
14.10.2020;5169;30;57.21;77454408
14.10.2020;5169;30;45.39;77454857
15.10.2020;5169;30;54.56;77492462
15.10.2020;5169;30;45.44;77499139
16.10.2020;5169;30;31.14;77535972
16.10.2020;5169;30;44.89;77535973
16.10.2020;5169;30;40.81;77535974
16.10.2020;5169;30;46.27;77537405
16.10.2020;5169;30;32.71;77539098
16.10.2020;5169;30;13.32;77540128
20.10.2020;5169;30;44.68;77660662
20.10.2020;5169;30;51.4;77663333
